#                                                               --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name        accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
Control1             -          atp12a.ref           -                  0 2096.9  11.5         0 2096.7  11.5   1.0   1   0   0   1   1   1   1 -
#
# Program:         hmmsearch
